vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,acc_FACE,acc_CachedDFL,acc_V2V,acc_LearningAware
135,127.009979,37.492805,14138686.2,4508021.9,-147.4,0.8968,0.4200,0.3643,0.4861
136,126.991311,37.528861,14136608.1,4513081.8,-85.7,0.6705,0.6705,0.6705,0.6705
137,126.965423,37.526549,14133726.2,4512757.3,52.2,0.3747,0.3747,0.3747,0.3747
138,127.015754,37.524456,14139329.1,4512463.5,129.4,0.5081,0.5081,0.5278,0.5081
139,127.008013,37.533336,14138467.3,4513710.0,-124.8,0.6032,0.5800,0.6021,0.6102
140,127.019255,37.510491,14139718.8,4510503.5,49.4,0.5963,0.5963,0.5963,0.5963
141,127.002374,37.505412,14137839.6,4509790.8,20.0,0.5974,0.5626,0.5974,0.5974
142,126.998781,37.479986,14137439.6,4506223.5,119.7,0.8852,0.8852,0.8840,0.8852
143,127.129317,37.470859,14151970.8,4504943.3,161.3,0.8910,0.4246,0.4258,0.4316
144,127.039031,37.470183,14141920.2,4504848.5,107.0,0.8979,0.5139,0.5905,0.6439
145,127.019152,37.516994,14139707.3,4511416.2,-80.6,0.7819,0.4118,0.4478,0.4756
146,127.027608,37.497592,14140648.6,4508693.5,1.9,0.9142,0.9130,0.9049,0.9130
147,127.021418,37.510919,14139959.6,4510563.6,-101.8,0.8271,0.5394,0.5220,0.8585
148,127.016509,37.523556,14139413.1,4512337.2,123.4,0.9095,0.9153,0.9223,0.9165
149,127.022904,37.508070,14140125.0,4510163.8,111.1,0.8469,0.3271,0.4211,0.3271
150,127.033987,37.484742,14141358.7,4506890.7,120.6,0.6636,0.6195,0.6183,0.6647
151,127.050138,37.461316,14143156.7,4503604.8,-34.3,0.6044,0.6659,0.6067,0.6044
152,127.020341,37.512882,14139839.7,4510839.1,-119.6,0.6369,0.3979,0.4176,0.3759
153,127.066364,37.488200,14144962.9,4507375.8,-67.4,0.5046,0.5046,0.4733,0.5046
154,127.022994,37.524629,14140135.0,4512487.8,-147.6,0.3794,0.3666,0.3794,0.3794
155,127.030593,37.498983,14140980.9,4508888.7,38.3,0.8863,0.8898,0.8875,0.8852
156,127.029373,37.494090,14140845.1,4508202.2,13.5,0.7042,0.7030,0.7019,0.7042
157,127.088764,37.463047,14147456.5,4503847.6,-158.1,0.5998,0.3271,0.3353,0.3271
158,127.128310,37.468920,14151858.7,4504671.3,100.1,0.4130,0.4130,0.4130,0.4130
159,127.037364,37.481321,14141734.7,4506410.8,118.1,0.6497,0.5557,0.7065,0.6032
160,127.113092,37.518598,14150164.7,4511641.3,-116.8,0.3353,0.3306,0.3353,0.3353
161,127.141485,37.479350,14153325.4,4506134.3,-1.1,0.3445,0.3619,0.3561,0.3306
162,127.038613,37.471396,14141873.7,4505018.6,-90.8,0.5812,0.6137,0.6206,0.6346
163,126.974850,37.504481,14134775.6,4509660.2,-49.9,0.8051,0.8155,0.8051,0.8051
164,127.113958,37.478126,14150261.1,4505962.6,6.6,0.6427,0.6427,0.6427,0.6427
165,127.135254,37.441924,14152631.7,4500885.6,22.9,0.9200,0.9211,0.9211,0.9200
166,127.126396,37.469252,14151645.7,4504717.9,-95.9,0.6392,0.6381,0.6392,0.6381
167,127.059223,37.457405,14144168.0,4503056.4,-33.3,0.9234,0.9246,0.9269,0.9258
168,127.000368,37.504768,14137616.3,4509700.4,18.2,0.8817,0.8770,0.8794,0.8805
169,127.021237,37.510619,14139939.4,4510521.5,102.0,0.6427,0.3271,0.3271,0.3271
170,127.032129,37.551344,14141151.9,4516238.2,56.9,0.5742,0.6647,0.5742,0.5255
171,127.045886,37.466629,14142683.3,4504350.0,8.3,0.3271,0.3271,0.3271,0.3271
172,126.960106,37.519875,14133134.4,4511820.5,-116.7,0.8875,0.7111,0.6995,0.8933
173,127.065959,37.479516,14144917.9,4506157.6,-27.8,0.5963,0.7471,0.7517,0.5232
174,127.020941,37.511490,14139906.5,4510643.7,-79.9,0.5882,0.6589,0.7007,0.8341
175,127.034022,37.558342,14141362.6,4517220.9,94.3,0.5974,0.5963,0.6067,0.5928
176,127.027480,37.498260,14140634.4,4508787.2,-71.7,0.7262,0.7077,0.7135,0.7111
177,127.057729,37.519282,14144001.7,4511737.3,142.7,0.6090,0.6357,0.6241,0.6090
178,127.064424,37.492553,14144747.0,4507986.5,111.4,0.6485,0.6555,0.6578,0.6520
179,127.021723,37.509982,14139993.5,4510432.1,-70.4,0.7900,0.6288,0.6671,0.5974
