vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,utility_FACE,utility_CachedDFL,utility_V2V,utility_LearningAware
67,127.008200,37.507184,14138488.2,4510039.5,-47.9,0.8594,0.7252,0.5252,0.5252
68,126.987997,37.534263,14136239.2,4513840.1,-175.9,0.6179,0.4499,0.3077,0.3077
69,127.033347,37.486045,14141287.5,4507073.5,110.8,0.7494,0.7099,0.5121,0.6741
70,127.141756,37.478254,14153355.5,4505980.5,-93.3,0.6573,0.6424,0.4119,0.4119
71,127.028329,37.496370,14140728.9,4508522.1,-36.2,0.9462,0.9057,0.6958,0.7726
72,127.021840,37.510075,14140006.5,4510445.2,110.2,0.9045,0.7497,0.6690,0.8017
73,126.988355,37.544965,14136279.0,4515342.6,323.0,0.7222,0.4027,0.2147,0.2147
74,127.000283,37.507470,14137606.8,4510079.6,116.4,0.6174,0.4864,0.4218,0.4218
75,127.007814,37.509265,14138445.2,4510331.5,-73.7,0.7556,0.5578,0.3880,0.3880
76,127.030374,37.528310,14140956.5,4513004.5,-148.4,0.6363,0.3606,0.3624,0.3429
77,127.070101,37.496332,14145378.9,4508516.7,-60.3,0.4398,0.5161,0.1963,0.1963
78,126.961780,37.540052,14133320.7,4514652.8,75.6,0.6785,0.4583,0.4366,0.4293
79,127.001927,37.524393,14137789.8,4512454.7,-108.2,0.6957,0.3486,0.4040,0.3946
80,126.978057,37.534755,14135132.6,4513909.2,-174.8,0.9039,0.4276,0.2676,0.2712
81,127.019452,37.516347,14139740.7,4511325.4,-56.9,0.9176,0.6499,0.6407,0.7553
82,126.993978,37.534207,14136905.0,4513832.3,95.0,0.7021,0.5387,0.5142,0.5142
83,127.003645,37.526295,14137981.1,4512721.6,50.4,0.8646,0.6774,0.2666,0.2666
84,127.031361,37.490115,14141066.4,4507644.5,279.2,0.9350,0.7278,0.5258,0.5301
85,127.065965,37.479303,14144918.5,4506127.7,-33.3,0.6806,0.6806,0.6806,0.5278
86,127.032503,37.487246,14141193.5,4507242.0,81.1,0.9251,0.6319,0.6319,0.6319
87,127.039669,37.468676,14141991.3,4504637.1,-54.6,0.8725,0.6941,0.6407,0.6941
88,127.031487,37.489823,14141080.4,4507603.5,39.9,0.8844,0.7170,0.7170,0.6643
89,126.965483,37.537650,14133732.9,4514315.6,-150.7,0.7001,0.3957,0.3844,0.3844
90,126.999101,37.535594,14137475.3,4514027.0,129.4,0.8969,0.8676,0.8349,0.8349
91,127.038475,37.472820,14141858.3,4505218.3,-88.6,0.9369,0.6401,0.5339,0.7567
92,127.027929,37.496712,14140684.4,4508570.0,-135.7,0.9369,0.7167,0.7167,0.5068
93,127.023641,37.506347,14140207.0,4509922.0,66.1,0.8844,0.6684,0.6684,0.6994
94,127.021219,37.511339,14139937.4,4510622.5,103.7,0.8830,0.7146,0.6900,0.7047
95,127.007526,37.549814,14138413.1,4516023.4,82.0,0.7418,0.7198,0.5387,0.6952
96,127.003851,37.541168,14138004.0,4514809.5,103.9,0.9369,0.4949,0.4606,0.6952
97,127.009494,37.553182,14138632.2,4516496.3,25.9,0.9088,0.8803,0.4700,0.7623
98,127.028415,37.492624,14140738.5,4507996.5,-159.7,0.9439,0.7155,0.6002,0.7010
99,127.015881,37.524336,14139343.2,4512446.7,124.2,0.9369,0.9191,0.5335,0.8099
100,127.066120,37.479373,14144935.8,4506137.5,-171.0,0.6813,0.5533,0.5533,0.6813
101,127.031280,37.489880,14141057.4,4507611.5,-44.6,0.9307,0.7364,0.6527,0.8116
102,127.065706,37.479256,14144889.7,4506121.1,88.8,0.5736,0.4751,0.4751,0.3987
103,127.065786,37.479182,14144898.6,4506110.7,-56.8,0.6813,0.4815,0.4815,0.4514
104,127.088889,37.462942,14147470.4,4503832.9,21.1,0.8628,0.5770,0.4100,0.4581
105,127.063711,37.508743,14144667.6,4510258.2,105.2,0.5596,0.5547,0.3904,0.3904
106,127.130873,37.468596,14152144.0,4504625.9,108.1,0.8872,0.6213,0.5051,0.6468
107,127.030846,37.491153,14141009.1,4507790.1,90.4,0.9343,0.8462,0.6296,0.7578
108,127.091594,37.463841,14147771.5,4503959.0,27.4,0.8883,0.6690,0.5363,0.6835
109,126.959003,37.517360,14133011.6,4511467.5,52.0,0.7375,0.5395,0.4727,0.5022
110,126.961121,37.508190,14133247.3,4510180.6,-103.5,0.8617,0.7104,0.6720,0.6720
111,126.954383,37.512911,14132497.3,4510843.2,314.5,0.6752,0.3498,0.4709,0.4709
112,127.028460,37.496288,14140743.5,4508510.6,-73.1,0.9045,0.7327,0.6891,0.7327
113,127.030207,37.491771,14140938.0,4507876.8,146.7,0.8883,0.8222,0.6508,0.6508
114,126.973531,37.539356,14134628.8,4514555.1,100.7,0.9164,0.8641,0.5852,0.5852
115,127.029523,37.498586,14140861.8,4508833.0,-152.9,0.5982,0.4468,0.2899,0.2899
116,126.973023,37.554032,14134572.3,4516615.6,92.0,0.8449,0.7673,0.7400,0.8035
117,127.035475,37.483309,14141524.4,4506689.7,128.9,0.8628,0.6015,0.5537,0.7624
118,127.071497,37.541197,14145534.3,4514813.6,51.6,0.2112,0.2112,0.2112,0.2112
119,127.070069,37.538582,14145375.4,4514446.4,8.8,0.4897,0.4897,0.4897,0.4897
120,127.015595,37.524687,14139311.4,4512495.9,125.2,0.8147,0.5898,0.5355,0.5624
121,127.038281,37.479735,14141836.8,4506188.3,102.5,0.9343,0.6825,0.6291,0.7985
122,127.021477,37.510907,14139966.1,4510561.9,161.4,0.6519,0.6431,0.5808,0.6343
123,127.069853,37.482549,14145351.3,4506583.0,178.8,0.5372,0.5372,0.5372,0.4353
124,127.127042,37.537377,14151717.6,4514277.3,-7.3,0.2015,0.2015,0.2015,0.2015
125,127.107834,37.464654,14149579.4,4504073.0,-9.0,0.7476,0.5944,0.5754,0.7075
126,127.129046,37.470370,14151940.7,4504874.7,-145.9,0.8872,0.8085,0.8085,0.8085
127,127.087518,37.462638,14147317.8,4503790.2,-158.9,0.8614,0.6148,0.5895,0.6553
128,127.029665,37.492792,14140877.6,4508020.1,62.3,0.8883,0.6919,0.6424,0.7559
129,127.008011,37.533346,14138467.1,4513711.4,4.3,0.9439,0.5690,0.6540,0.6726
130,127.030758,37.490774,14140999.3,4507736.9,99.1,0.8955,0.7019,0.6872,0.6829
131,127.012608,37.549323,14138978.8,4515954.4,-68.6,0.8228,0.5324,0.4034,0.5187
132,127.018010,37.545834,14139580.2,4515464.6,45.6,0.6503,0.3953,0.3953,0.3953
133,126.978133,37.484111,14135141.1,4506802.2,8.9,0.6265,0.4768,0.2221,0.2058
134,127.010922,37.492647,14138791.2,4507999.7,-13.8,0.5789,0.5117,0.5117,0.5117
135,127.009979,37.492805,14138686.2,4508021.9,-147.4,0.8422,0.6453,0.4859,0.5811
136,126.991311,37.528861,14136608.1,4513081.8,-85.7,0.8449,0.5577,0.4685,0.4685
137,126.965423,37.526549,14133726.2,4512757.3,52.2,0.6596,0.5069,0.4832,0.4791
138,127.015754,37.524456,14139329.1,4512463.5,129.4,0.9439,0.6658,0.4909,0.6973
139,127.008013,37.533336,14138467.3,4513710.0,-124.8,0.9439,0.5654,0.2780,0.7760
140,127.019255,37.510491,14139718.8,4510503.5,49.4,0.6554,0.6554,0.4730,0.7369
141,127.002374,37.505412,14137839.6,4509790.8,20.0,0.7421,0.6169,0.4054,0.3853
142,126.998781,37.479986,14137439.6,4506223.5,119.7,0.2204,0.2204,0.2204,0.2204
143,127.129317,37.470859,14151970.8,4504943.3,161.3,0.8211,0.5209,0.5209,0.5209
144,127.039031,37.470183,14141920.2,4504848.5,107.0,0.7476,0.7181,0.6823,0.7034
145,127.019152,37.516994,14139707.3,4511416.2,-80.6,0.6843,0.5250,0.5113,0.4783
146,127.027608,37.497592,14140648.6,4508693.5,1.9,0.7289,0.6436,0.6436,0.6700
147,127.021418,37.510919,14139959.6,4510563.6,-101.8,0.9225,0.7231,0.6487,0.6780
148,127.016509,37.523556,14139413.1,4512337.2,123.4,0.9369,0.7015,0.5709,0.6287
149,127.022904,37.508070,14140125.0,4510163.8,111.1,0.9462,0.8635,0.7559,0.7559
150,127.033987,37.484742,14141358.7,4506890.7,120.6,0.7626,0.7231,0.6873,0.6873
151,127.050138,37.461316,14143156.7,4503604.8,-34.3,0.9350,0.7013,0.7100,0.6222
152,127.020341,37.512882,14139839.7,4510839.1,-119.6,0.9176,0.8813,0.6468,0.6468
153,127.066364,37.488200,14144962.9,4507375.8,-67.4,0.6806,0.6806,0.3859,0.3607
154,127.022994,37.524629,14140135.0,4512487.8,-147.6,0.5223,0.4754,0.1962,0.2246
155,127.030593,37.498983,14140980.9,4508888.7,38.3,0.8422,0.4549,0.2899,0.2899
156,127.029373,37.494090,14140845.1,4508202.2,13.5,0.8956,0.6598,0.6677,0.5326
157,127.088764,37.463047,14147456.5,4503847.6,-158.1,0.9098,0.6561,0.6849,0.8845
158,127.128310,37.468920,14151858.7,4504671.3,100.1,0.9098,0.6430,0.5825,0.5825
159,127.037364,37.481321,14141734.7,4506410.8,118.1,0.7735,0.7339,0.7192,0.6927
160,127.113092,37.518598,14150164.7,4511641.3,-116.8,0.1459,0.1728,0.1728,0.1459
161,127.141485,37.479350,14153325.4,4506134.3,-1.1,0.8056,0.5843,0.5843,0.5843
162,127.038613,37.471396,14141873.7,4505018.6,-90.8,0.9462,0.9343,0.7922,0.8462
163,126.974850,37.504481,14134775.6,4509660.2,-49.9,0.7375,0.4415,0.3690,0.3683
164,127.113958,37.478126,14150261.1,4505962.6,6.6,0.4113,0.2903,0.2613,0.2613
165,127.135254,37.441924,14152631.7,4500885.6,22.9,0.5221,0.4706,0.3273,0.3273
166,127.126396,37.469252,14151645.7,4504717.9,-95.9,0.8528,0.6741,0.5956,0.5956
167,127.059223,37.457405,14144168.0,4503056.4,-33.3,0.9343,0.8816,0.8368,0.8368
168,127.000368,37.504768,14137616.3,4509700.4,18.2,0.8785,0.6131,0.3134,0.3067
169,127.021237,37.510619,14139939.4,4510521.5,102.0,0.9045,0.7381,0.6508,0.6910
170,127.032129,37.551344,14141151.9,4516238.2,56.9,0.8041,0.2542,0.2542,0.4221
171,127.045886,37.466629,14142683.3,4504350.0,8.3,0.6263,0.4569,0.2137,0.2137
172,126.960106,37.519875,14133134.4,4511820.5,-116.7,0.8449,0.6448,0.6175,0.6175
173,127.065959,37.479516,14144917.9,4506157.6,-27.8,0.5372,0.5372,0.5372,0.4353
174,127.020941,37.511490,14139906.5,4510643.7,-79.9,0.8844,0.6458,0.5926,0.6085
175,127.034022,37.558342,14141362.6,4517220.9,94.3,0.8227,0.6063,0.4344,0.4344
176,127.027480,37.498260,14140634.4,4508787.2,-71.7,0.9176,0.7997,0.4245,0.7690
177,127.057729,37.519282,14144001.7,4511737.3,142.7,0.5181,0.4575,0.3702,0.3702
178,127.064424,37.492553,14144747.0,4507986.5,111.4,0.5736,0.5736,0.4249,0.3723
179,127.021723,37.509982,14139993.5,4510432.1,-70.4,0.9369,0.9191,0.8124,0.8926
