snapshot,unix_time,vehicle_id,lon,lat
0,0,IDV1257027100,127.038752,37.578231
0,0,IDV1257027230,127.122667,37.536051
0,0,IDV1257027700,127.122565,37.513802
0,0,IDV1257027920,127.093158,37.616504
0,0,IDV1257057050,127.045831,37.466480
0,0,IDV1257062280,127.023681,37.575698
0,0,IDV1257062360,127.045961,37.580689
0,0,IDV1257062520,127.040786,37.578701
0,0,IDV1257062530,127.007071,37.571108
0,0,IDV1257062560,127.092379,37.598092
0,0,IDV1257062660,126.924737,37.574847
0,0,IDV1257062700,127.094928,37.586194
0,0,IDV1257062730,126.985902,37.576645
0,0,IDV1257062790,127.102622,37.612605
0,0,IDV1257062820,126.938927,37.560048
0,0,IDV1257062870,127.003099,37.587281
0,0,IDV1257062890,126.935050,37.521338
0,0,IDV1257062920,127.088433,37.584857
0,0,IDV1257063070,126.976407,37.575163
0,0,IDV1257063080,127.051205,37.585357
0,0,IDV1257063100,127.062895,37.590323
0,0,IDV1257063310,127.149205,37.594707
0,0,IDV1257063390,127.149393,37.590787
0,0,IDV1257064320,127.029098,37.495010
0,0,IDV1257064540,126.964179,37.508393
0,0,IDV1257064940,127.141483,37.443721
0,0,IDV1257065020,127.029919,37.493452
0,0,IDV1257065040,127.020063,37.516168
0,0,IDV1257065050,127.046431,37.463061
0,0,IDV1257065070,127.082807,37.461140
0,0,IDV1257065090,126.989162,37.501789
0,0,IDV1257065330,127.128769,37.469514
0,0,IDV1257065390,127.035963,37.482614
0,0,IDV1257065870,127.021573,37.510667
0,0,IDV1257066640,126.932373,37.513207
0,0,IDV1257066680,126.823817,37.492794
0,0,IDV1257066710,126.896872,37.512994
0,0,IDV1257066720,126.989479,37.570233
0,0,IDV1257066730,126.874048,37.499516
0,0,IDV1257066760,126.840619,37.494643
0,0,IDV1257066770,127.023307,37.634512
0,0,IDV1257066850,126.920150,37.498119
0,0,IDV1257066900,126.834170,37.493314
0,0,IDV1257067040,127.081739,37.637789
0,0,IDV1257067090,126.900270,37.479231
0,0,IDV1257067150,127.043789,37.689887
0,0,IDV1257067190,126.849781,37.502931
0,0,IDV1257067220,126.996598,37.570653
0,0,IDV1257067230,126.968772,37.568005
0,0,IDV1257067240,126.887187,37.508622
0,0,IDV1257067260,126.885236,37.506843
0,0,IDV1257067360,126.907829,37.505950
0,0,IDV1257067370,126.972910,37.541756
0,0,IDV1257067390,126.916804,37.512004
0,0,IDV1257067560,126.829710,37.493181
0,0,IDV1257067910,126.953130,37.546909
0,0,IDV1257067940,127.043935,37.690032
0,0,IDV1257067950,127.043400,37.690243
0,0,IDV1257067980,126.925109,37.511481
0,0,IDV1257068480,127.064046,37.659330
0,0,IDV1257079030,126.940137,37.548778
0,0,IDV1257079190,126.969185,37.558588
0,0,IDV1257079240,126.902077,37.541134
0,0,IDV1257079790,126.952031,37.557188
0,0,IDV1257079810,126.924349,37.557173
0,0,IDV1257079820,126.915446,37.550907
0,0,IDV1257079840,126.972043,37.557651
0,0,IDV1257079960,126.970395,37.569123
0,0,IDV1257080150,126.944928,37.546496
0,0,IDV1257080160,126.922446,37.555545
0,0,IDV1257080210,126.977606,37.557917
0,0,IDV1257081620,126.889587,37.544456
0,0,IDV1257083170,126.863353,37.536125
0,0,IDV1257083180,126.890284,37.544354
0,0,IDV1257093750,126.942910,37.557110
0,0,IDV1257093770,127.044210,37.509567
0,0,IDV1257095160,126.973644,37.558150
0,0,IDV1257095180,127.106181,37.475840
0,0,IDV1257095240,126.927260,37.494319
0,0,IDV1257095250,127.068698,37.483842
0,0,IDV1257095530,127.136560,37.480742
0,0,IDV1257095550,127.125415,37.479137
0,0,IDV1257095560,127.097673,37.485501
0,0,IDV1257095580,127.060952,37.493190
0,0,IDV1257095590,127.040887,37.485473
0,0,IDV1257095600,127.020883,37.512049
0,0,IDV1257095630,126.982496,37.551906
0,0,IDV1257095810,126.971506,37.558456
0,0,IDV1257095840,127.043143,37.485929
0,0,IDV1257095850,127.136998,37.480839
0,0,IDV1257112230,127.012771,37.663000
0,0,IDV1257112250,127.039402,37.656414
0,0,IDV1257112280,127.035887,37.595395
0,0,IDV1257112290,127.022615,37.575218
0,0,IDV1257112320,126.996689,37.570631
0,0,IDV1257112330,127.021954,37.634580
0,0,IDV1257112340,126.975087,37.563510
0,0,IDV1257112410,126.979300,37.570095
0,0,IDV1257112420,126.987245,37.570295
0,0,IDV1257112570,127.005474,37.588221
0,0,IDV1257112680,127.031857,37.603923
0,0,IDV1257112870,127.030345,37.609640
0,0,IDV1257118140,127.027058,37.499184
0,0,IDV1257118220,126.960090,37.511853
0,0,IDV1257118280,126.839406,37.541525
0,0,IDV1257118430,127.023403,37.506962
0,0,IDV1257118450,127.042213,37.689995
0,0,IDV1257118470,127.042227,37.690048
0,0,IDV1257118480,127.038574,37.478811
0,0,IDV1257118560,127.025902,37.627043
0,0,IDV1257118570,126.989621,37.570222
0,0,IDV1257118600,127.027723,37.497585
0,0,IDV1257118630,127.010990,37.529074
0,0,IDV1257118640,127.043904,37.670965
0,0,IDV1257118710,126.945722,37.587498
0,0,IDV1257122380,126.924232,37.525612
0,0,IDV1257122430,127.066035,37.591214
0,0,IDV1257132020,127.007855,37.565630
0,0,IDV1257132120,127.046007,37.683401
0,0,IDV1257132130,127.002228,37.578897
0,0,IDV1257132150,126.897583,37.465006
0,0,IDV1257132160,126.920393,37.498749
0,0,IDV1257132170,127.039248,37.656424
0,0,IDV1257132190,126.928341,37.524276
0,0,IDV1257132300,127.027905,37.606521
0,0,IDV1257132360,126.954351,37.548753
0,0,IDV1257132400,126.918444,37.522398
0,0,IDV1257132420,127.002268,37.579295
0,0,IDV1257132610,126.858763,37.497100
0,0,IDV1257132620,126.930249,37.529634
0,0,IDV1257132740,127.001484,37.585123
0,0,IDV1257132790,126.897511,37.463700
0,0,IDV1257132800,126.972818,37.556489
0,0,IDV1257132830,127.013107,37.591765
0,0,IDV1257132850,127.043311,37.690334
0,0,IDV1257132860,127.044203,37.689863
0,0,IDV1257132870,126.972966,37.541468
0,0,IDV1257412010,126.982582,37.570120
0,0,IDV1257412250,127.067420,37.591721
0,0,IDV1257412400,127.095200,37.585213
0,0,IDV1257412540,127.095310,37.585083
0,0,IDV1257412640,127.036099,37.578248
0,0,IDV1257412740,126.905797,37.560992
0,0,IDV1257412750,126.934149,37.556077
0,0,IDV1257412760,126.911167,37.554966
0,0,IDV1257412820,126.920034,37.554086
0,0,IDV1257412850,126.896552,37.566244
0,0,IDV1257413030,126.921255,37.566760
0,0,IDV1257413130,126.997069,37.576539
0,0,IDV1257413500,126.800888,37.564856
0,0,IDV1257413630,127.031430,37.489732
0,0,IDV1257413670,127.029050,37.619295
0,0,IDV1257413680,127.023246,37.634926
0,0,IDV1257413870,127.030177,37.609071
0,0,IDV1257413890,127.024417,37.504938
0,0,IDV1257413920,126.993038,37.555877
0,0,IDV1257413930,126.820834,37.573316
0,0,IDV1257414060,126.924881,37.557659
0,0,IDV1257414360,127.017995,37.593611
0,0,IDV1257414380,126.882733,37.582982
0,0,IDV1257414430,126.942283,37.556531
0,0,IDV1257415480,127.043112,37.586951
